SECNAME,STARTDATE,ORGNAME,F029N,F008N,SECCODE,F049N,ENDDATE,F016N,F025N,F014N,F026N,F003N,F089N,F023N,F056N,F101N,F043N,F044N,F022N,F041N,F052N,F042N
联创电子,2019-01-01,联创电子科技股份有限公司,1.329,3.2248,002036,65.546,2019-12-31,3.373,0.767,11.59,2.814,0.373736,6081932971.96,3.658,31.413,252012306.49,0.739,23.56,3.761,71.494,26.647,1.104
国光电器,2018-01-01,国光电器股份有限公司,1.81,3.5358,002045,69.682,2018-12-31,-4.884,0.901,-13.227,5.875,-0.467688,4041902113,6.259,15.391,-220600717,0.817,18.274,3.577,64.34,-0.171,1.054
国光电器,2019-01-01,国光电器股份有限公司,1.769,4.1174,002045,109.5,2019-12-31,7.809,0.983,18.31,6.58,0.753887,4445544317,6.982,-11.82,349678909,1.136,29.801,3.977,54.451,9.986,1.414
紫光国微,2018-01-01,紫光国芯微电子股份有限公司,0.8,6.2529,002049,248.632,2018-12-31,6.366,0.45,9.171,10.354,0.57344,2458423475.06,2.472,9.967,348553049.74,2.545,109.962,2.579,33.62,34.406,3.313
紫光国微,2019-01-01,紫光国芯微电子股份有限公司,0.879,6.9019,002049,213.173,2019-12-31,6.486,0.548,9.688,18.348,0.668671,3430409964.8,2.668,18.52,400546989.29,2.188,72.871,2.855,38.219,39.537,2.722
*ST同洲,2018-01-01,深圳市同洲电子股份有限公司,0.636,0.801,002052,111.054,2018-12-31,-19.858,0.479,-55.382,3.346,-0.443624,798133417.18,5.038,-16.366,-330925753.64,1.148,58.194,1.961,60.636,18.617,1.238
*ST同洲,2019-01-01,深圳市同洲电子股份有限公司,0.893,0.5371,002052,92.144,2019-12-31,-15.891,0.628,-49.267,3.598,-0.264594,779521152.16,9.126,-36.353,-197376739.17,1.021,18.46,2.098,58.533,-2.332,1.122
得润电子,2018-01-01,深圳市得润电子股份有限公司,1.105,5.6214,002055,75.654,2018-12-31,2.643,0.755,9.68,6.598,0.544148,7454105562.46,3.686,6.004,245973279.73,0.811,10.978,3.993,69.634,27.398,1.109
得润电子,2019-01-01,深圳市得润电子股份有限公司,1.122,3.9721,002055,58.417,2019-12-31,-5.743,0.734,-30.728,6.177,-1.22053,7486212149.89,3.597,0.61,-619814251.82,0.82,12.457,3.564,75.527,0.431,1.108
苏州固锝,2018-01-01,苏州固锝电子股份有限公司,1.39,2.2166,002079,332.17,2018-12-31,4.686,0.934,5.859,3.844,0.129882,1885325487.13,7.585,3.703,132211193.69,4.246,144.604,5.379,14.923,1.657,4.914
苏州固锝,2019-01-01,苏州固锝电子股份有限公司,1.335,2.3663,002079,397.415,2019-12-31,4.488,0.922,5.599,4.239,0.132497,1980553309.06,8.47,9.221,137563404.66,4.235,112.901,4.849,15.742,5.051,4.841
ST新海,2018-01-01,新海宜科技集团股份有限公司,0.37,0.8605,002089,68.428,2018-12-31,-10.932,0.164,-43.192,0.96,-0.371659,766336584.63,5.442,2.631,-521630380.05,0.988,21.263,1.918,71.803,-52.245,1.027
ST新海,2019-01-01,新海宜科技集团股份有限公司,0.148,0.9579,002089,92.481,2019-12-31,1.736,0.073,4.802,0.381,0.046001,265043822.18,4.279,-46.109,56204893.02,0.954,28.86,1.241,46.472,-65.414,0.97
