SECNAME,STARTDATE,ORGNAME,F029N,F008N,SECCODE,F049N,ENDDATE,F016N,F025N,F014N,F026N,F003N,F089N,F023N,F056N,F101N,F043N,F044N,F022N,F041N,F052N,F042N
大富科技,2019-01-01,深圳市大富科技股份有限公司,0.581,6.5089,300134,182.15,2019-12-31,-5.51,0.363,-7.097,1.828,-0.461913,2337566465.61,3.733,-6.842,-355230003.38,2.936,95.467,3.816,19.55,28.333,3.337
信维通信,2018-01-01,深圳市信维通信股份有限公司,1.251,3.7742,300136,152.729,2018-12-31,15.742,0.75,26.827,7.488,1.01251,4706909438.63,6.806,35.319,989897445.82,1.579,44.357,2.688,48.662,37.037,1.832
信维通信,2019-01-01,深圳市信维通信股份有限公司,1.278,4.8683,300136,123.287,2019-12-31,13.087,0.659,21.628,4.429,1.05291,5134041894.14,5.624,15.969,1027071562.07,1.294,16.176,2.061,43.106,9.075,1.516
晓程科技,2018-01-01,北京晓程科技股份有限公司,0.272,4.158,300139,89.126,2018-12-31,0.292,0.111,0.379,0.906,0.015759,164476806.04,0.387,-2.894,2715316.67,1.179,35.61,1.356,21.696,19.176,1.843
晓程科技,2019-01-01,北京晓程科技股份有限公司,0.219,3.7493,300139,104.514,2019-12-31,-8.5,0.074,-11.159,0.532,-0.41837,100056439.39,0.446,-15.039,-136540225.3,1.312,23.474,0.677,18.65,-39.167,2.012
安居宝,2018-01-01,广东安居宝数码科技股份有限公司,0.87,2.1484,300155,222.051,2018-12-31,1.764,0.594,2.337,3.711,0.050196,918900258.17,2.971,4.478,28922038.82,2.526,99.445,2.771,24.386,8.743,3.093
安居宝,2019-01-01,广东安居宝数码科技股份有限公司,0.798,2.2659,300155,278.035,2019-12-31,4.506,0.58,5.835,4.567,0.132204,924120718.5,2.617,1.758,73632398.52,3.033,141.337,2.447,21.61,0.568,3.712
雷曼光电,2018-01-01,深圳雷曼光电科技股份有限公司,1.042,2.9548,300162,146.701,2018-12-31,-2.681,0.539,-3.532,3.736,-0.104371,733522239.13,3.831,0.67,-37434055.49,1.801,68.31,3.42,22.602,13.811,2.369
雷曼光电,2019-01-01,深圳雷曼光电科技股份有限公司,1.193,2.609,300162,136.179,2019-12-31,2.928,0.701,4.431,4.65,0.115611,966897140.76,3.548,2.223,45924192.46,1.567,45.434,3.847,32.472,31.816,2.094
中海达,2018-01-01,广州中海达卫星导航技术股份有限公司,0.788,4.0725,300177,201.761,2018-12-31,3.612,0.488,5.243,6.9,0.213506,1288807938.87,2.693,11.815,144202927.24,2.665,77.282,2.371,24.311,26.256,3.108
中海达,2019-01-01,广州中海达卫星导航技术股份有限公司,0.847,2.5565,300177,170.868,2019-12-31,-5.18,0.543,-8.942,7.852,-0.228609,1619298447.73,2.832,13.835,-160827335.52,1.763,50.138,2.031,35.043,25.643,2.131
天喻信息,2018-01-01,武汉天喻信息产业股份有限公司,1.62,2.957,300205,169.768,2018-12-31,5.139,1.219,7.944,12.757,0.234906,2396986879.64,5.598,14.232,114020526.25,1.71,58.414,3.843,38.683,23.807,2.048
天喻信息,2019-01-01,武汉天喻信息产业股份有限公司,1.151,3.3238,300205,151.638,2019-12-31,8.054,0.926,13.46,12.358,0.447376,2212106995.85,5.461,27.895,178304816.88,1.529,60.294,2.696,46.621,-7.713,1.81
亿通科技,2018-01-01,江苏亿通高科技股份有限公司,0.365,1.6211,300211,534.555,2018-12-31,0.892,0.229,1.015,0.89,0.01645,127934551.61,5.679,-6.789,4979036.56,7.542,288.747,1.211,8.879,-24.5,7.812
亿通科技,2019-01-01,江苏亿通高科技股份有限公司,0.286,1.5821,300211,822.991,2019-12-31,1.196,0.186,1.325,0.754,0.020956,98908656.53,7.28,-2.943,6343025.01,8.628,466.883,1.468,8.377,-22.688,8.847
佳讯飞鸿,2018-01-01,北京佳讯飞鸿电气股份有限公司,0.605,3.2669,300213,174.869,2018-12-31,4.328,0.405,6.694,7.154,0.218692,1216452868.19,4.291,3.795,131330426.22,1.86,76.078,1.482,36.44,3.738,2.061
佳讯飞鸿,2019-01-01,北京佳讯飞鸿电气股份有限公司,0.645,3.5126,300213,185.489,2019-12-31,4.924,0.431,7.328,7.298,0.257396,1339490849.55,4.473,3.13,151825143.19,1.953,86.888,1.678,33.828,10.114,2.125
鸿利智汇,2018-01-01,鸿利智汇集团股份有限公司,1.832,3.9555,300219,112.533,2018-12-31,4.299,0.824,7.408,3.65,0.29303,4003161049.23,7.262,-4.562,187028806.9,1.195,28.199,4.141,38.126,8.215,1.476
